Base,Link,Mantenedor,Cidade,Estado,Pais,Bandeira,Categoria,Tags
Portal da Transparência do Município de Diadema,http://www.diadema.sp.gov.br/portal-da-transparencia,Diadema,Diadema,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Jundiaí,https://transparencia.jundiai.sp.gov.br/,Jundiaí,Jundiaí,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Carapicuíba,http://portaldatransparencia.carapicuiba.sp.gov.br/site/,Carapicuíba,Carapicuíba,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Piracicaba,http://transparencia.piracicaba.sp.gov.br/,Piracicaba,Piracicaba,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Bauru,http://www.bauru.sp.gov.br/financas/transparencia.aspx,Bauru,Bauru,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de São Vicente,http://online.saovicente.sp.gov.br/pmsaovicente/websis/portal_transparencia/financeiro/contas_publicas/index.php,São Vicente,São Vicente,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Itaquaquecetuba,http://leideacesso.etransparencia.com.br/itaquaquecetuba.prefeitura.sp/Portal/,Itaquaquecetuba,Itaquaquecetuba,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Franca,http://www.franca.sp.gov.br/portal-transparencia/,Franca,Franca,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Guarujá,http://guaruja.prodataweb.inf.br:4555/sig/app.html#/transparencia/index,Guarujá,Guarujá,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Taubaté,http://leideacesso.etransparencia.com.br/taubate.prefeitura.sp/Portal/desktop.html?410,Taubaté,Taubaté,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Aracaju,http://transparencia.aracaju.se.gov.br/,Aracaju,Aracaju,SE,Brasil,Brasil,,Municipal
Ancine | Dados Abertos,https://www.ancine.gov.br/pt-br/acesso-a-informacao/dados_abertos,Ancine,,,Brasil,Brasil,,Cultura
Base de dados de Filmes do Mercosul,http://www.recam.org/?do=db&set_lang=pt,RECAM,,,Mercosul,Mercosul,,"Cultura, Filmes"
Base de dados de filmes estrangeiros exibidos no país entre o Omniógrafo (1896) e a passagem ao sonoro (1934),http://silenciosos.l2o.com.br/cgi-bin/wxis.exe/iah/scripts/?IsisScript=iah.xis&lang=pt&base=VIDEO,MNEMOCINE,,,,Global,,"Cultura, Filmes"
Base de dados do Internet Movie Database,https://www.imdb.com/interfaces/,IMDB,,,,IMDB,,"Cultura, Filmes"
Atlas da Violência,http://www.ipea.gov.br/atlasviolencia/,IPEA,,,Brasil,Brasil,,Segurança Pública
Defesa e Segurança Pública,http://dados.gov.br/dataset?groups=defesa-seguranca,Portal Brasileiro de Dados Abertos,,,Brasil,Brasil,,Segurança Pública
Bases de dados sobre assuntos diversos,https://www.kaggle.com/datasets,Kaggle,,,,Global,,Coleções
Brasil.io: repositório de dados públicos em formato acessível,https://brasil.io/,Brasil.io,,,Brasil,Brasil,,"Dados abertos, Nacional, Brasil"
SIDRA - Banco de Tabelas Estatísticas,https://sidra.ibge.gov.br/home/ipca/brasil,IBGE,,,Brasil,Brasil,,Nacional
API de dados do SIDR,http://api.sidra.ibge.gov.br/,IBGE,,,Brasil,Brasil,,Nacional
Portal de Mapas,https://portaldemapas.ibge.gov.br/portal.php#homepage,IBGE,,,Brasil,Brasil,,Nacional
IBGE Educa,https://educa.ibge.gov.br/,IBGE,,,Brasil,Brasil,,Nacional
Séries históricas e estatísticas,https://seriesestatisticas.ibge.gov.br/,IBGE,,,Brasil,Brasil,,Nacional
Países,https://paises.ibge.gov.br/,IBGE,,,Brasil,Brasil,,Nacional
BDG - Banco de Dados Geodésicos,http://www.bdg.ibge.gov.br/appbdg/,IBGE,,,Brasil,Brasil,,Nacional
Sistema agregador de informações sobre os municípios e estados do Brasil,https://cidades.ibge.gov.br/,IBGE,,,Brasil,Brasil,,Nacional
Albânia,http://www.open.data.al/,Albânia,,,Albânia,Albânia,,Internacional
Alemanha,https://www.govdata.de/,Alemanha,,,Alemanha,Alemanha,,Internacional
Austrália,https://data.gov.au/,Austrália,,,Austrália,Austrália,,Internacional
Áustria,https://www.data.gv.at/,Áustria,,,Áustria,Áustria,,Internacional
Bélgica,https://data.gov.be/en,Bélgica,,,Bélgica,Bélgica,,Internacional
Brunei,https://www.data.gov.bn/Pages/index.aspx,Brunei,,,Brunei,Brunei,,Internacional
Canadá,https://open.canada.ca/en/open-data,Canadá,,,Canadá,Canadá,,Internacional
Chipre,https://www.data.gov.cy/,Chipre,,,Chipre,Chipre,,Internacional
Chile,https://datos.gob.cl/,Chile,,,Chile,Chile,,Internacional
Coreia do Sul,https://www.data.go.kr/,Coreia do Sul,,,Coreia do Sul,Coreia do Sul,,Internacional
Dinamarca,https://www.dst.dk/en#,Dinamarca,,,Dinamarca,Dinamarca,,Internacional
Egito,http://www.egypt.gov.eg/english/home.aspx,Egito,,,Egito,Egito,,Internacional
Espanha,https://datos.gob.es/es,Espanha,,,Espanha,Espanha,,Internacional
Estônia,https://opendata.riik.ee/en/datasets/,Estônia,,,Estônia,Estônia,,Internacional
Abu Dhabi,https://www.dpm.gov.abudhabi/notification,Abu Dhabi,,,Emirados Árabes,Emirados Árabes,,Internacional
Dubai,http://dubaidata.ae/,Dubai,,,Arábia Saudita,Arábia Saudita,,Internacional
Dubai,https://www.khda.gov.ae/en/opendata,Dubai,,,Arábia Saudita,Arábia Saudita,,Internacional
Catar,https://portal.moi.gov.qa/wps/portal/MOIInternet/opendata,Catar,,,Catar,Catar,,Internacional
Estados Unidos da América,https://www.data.gov/,Estados Unidos da América,,,Estados Unidos da América,Estados Unidos da América,,Internacional
Nova York,https://opendata.cityofnewyork.us/data/,Nova York,,,Estados Unidos da América,Estados Unidos da América,,Internacional
Equador,http://catalogo.datosabiertos.gob.ec/en/dataset,Equador,,,Equador,Equador,,Internacional
França,https://www.data.gouv.fr/en/,França,,,França,França,,Internacional
Filipinas,https://data.gov.ph/,Filipinas,,,Filipinas,Filipinas,,Internacional
Gana,http://data.gov.gh/dataset,Gana,,,Gana,Gana,,Internacional
Grécia,http://www.opengov.gr/en/,Grécia,,,Grécia,Grécia,,Internacional
Indonésia,https://data.go.id/,Indonésia,,,Indonésia,Indonésia,,Internacional
Inglaterra,https://data.gov.uk/,Inglaterra,,,Inglaterra,Inglaterra,,Internacional
Irlanda,https://data.gov.ie/,Irlanda,,,Irlanda,Irlanda,,Internacional
Israel,https://data.gov.il/,Israel,,,Israel,Israel,,Internacional
Japão,https://www.data.go.jp/,Japão,,,Japão,Japão,,Internacional
Jordânia,https://jordan.gov.jo/wps/portal/OpenData#/manageDataSets,Jordânia,,,Jordânia,Jordânia,,Internacional
Kuwait,https://www.e.gov.kw/sites/kgoEnglish/Pages/OtherTopics/OpenData.aspx,Kuwait,,,Kuwait,Kuwait,,Internacional
Letónia,https://data.gov.lv/eng,Letónia,,,Letónia,Letónia,,Internacional
Luxemburgo,https://data.public.lu/fr/,Luxemburgo,,,Luxemburgo,Luxemburgo,,Internacional
México,https://datos.gob.mx/,México,,,México,México,,Internacional
Noruega,https://data.norge.no/,Noruega,,,Noruega,Noruega,,Internacional
Portugal,https://dados.gov.pt/pt/datasets/,Portugal,,,Portugal,Portugal,,Internacional
Suíça,https://opendata.swiss/fr/,Suíça,,,Suíça,Suíça,,Internacional
Tailândia,https://data.go.th/default.aspx,Tailândia,,,Tailândia,Tailândia,,Internacional
Tanzânia,http://www.opendata.go.tz/dataset,Tanzânia,,,Tanzânia,Tanzânia,,Internacional
Tunísia,http://data.industrie.gov.tn/,Tunísia,,,Tunísia,Tunísia,,Internacional
Educação Inteligente,http://educacao.dadosabertosbr.com,Ministério das Comunicações,,Brasil,Brasil,Brasil,,"Educação, Ministério"
"Programa Mais Educação, Prouni e Pronatec",http://dadosabertos.mec.gov.br/,Ministério da Educação,,Brasil,Brasil,Brasil,,"Educação, Ministério"
Inep,http://inep.gov.br/dados,INEP | Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,,Brasil,Brasil,Brasil,,Educação
UFRN - Dados Abertos,http://dados.ufrn.br/,UFRN | Universidade Federal do Rio Grande do Norte,,RN,Brasil,Brasil,,Universidade Federal
IFRN - Dados Abertos,https://dados.ifrn.edu.br/,IFRN | Insituto Federal do Rio Grande do Norte,,RN,Brasil,Brasil,,Universidade Federal
Base de dados sobre a saúde no país,http://www2.datasus.gov.br/DATASUS/index.php?area=02,SUS,,Brasil,Brasil,Brasil,,Saúde
Dados mundiais sobre a saúde,https://www.who.int/gho/themes/en/,OMS | Organização Mundial da Saúde,,ONU,Global,OMS,,Saúde
Informações e avaliações de operadoras,http://www.ans.gov.br/planos-de-saude-e-operadoras/informacoes-e-avaliacoes-de-operadoras,ANS | Agência Nacional da Saúde,,Brasil,Brasil,Brasil,,Saúde
Base de dados de bandas de metal,https://www.metal-archives.com/,Enciclopédia Metallum,,,Global,Encyclopaedia Metallum,,Música
Banco de dados de música com conteúdo aberto,https://musicbrainz.org/,Music Brainz,,,Global,Music Brainz,,Música
Base de dados de produção músical,https://www.discogs.com/,Discogs,,,Global,Discogs,,Música
