Base,Link,Mantenedor,Cidade,Estado,Pais,Bandeira,Categoria,Tags
Semanário Oficial do Município de João Pessoa,http://www.joaopessoa.pb.gov.br/semanariooficial/,João Pessoa,João Pessoa,PB,Brasil,Brasil,,Municipal
Portal da Transparência da Câmara Municipal de João Pessoa,https://transparencia.elmartecnologia.com.br/?e=101095,João Pessoa,João Pessoa,PB,Brasil,Brasil,,Municipal
Semanário Oficial da Câmara Municipal de João Pessoa,https://cmjp.pb.gov.br/diario-oficial/,João Pessoa,João Pessoa,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Campina Grande,http://campinagrande.pb.gov.br/portal-da-transparencia/,Campina Grande,Campina Grande,PB,Brasil,Brasil,,Municipal
Semanário Oficial do Município de Campina Grande,http://campinagrande.pb.gov.br/semanario-oficial/,Campina Grande,Campina Grande,PB,Brasil,Brasil,,Municipal
Portal da Transparência da Câmara Municipal de Campina Grande,https://www.camaracg.pb.gov.br/transparencia/,Campina Grande,Campina Grande,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Santa Rita,https://www.santarita.pb.gov.br/transparencia/portal-da-transparencia/,Santa Rita,Santa Rita,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Cajazeiras,https://cajazeiras.pb.gov.br/transparencia/,Cajazeiras,Cajazeiras,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Itabaiana,http://transparencia.itabaiana.pb.gov.br/,Itabaiana,Itabaiana,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Ingá,https://inga.pb.gov.br/portal-da-transparencia/,Ingá,Ingá,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Mamanguape,https://transparencia.mamanguape.pb.gov.br/,Mamanguape,Mamanguape,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Guarabira,http://www.guarabira.pb.gov.br/portaldatransparencia/,Guarabira,Guarabira,PB,Brasil,Brasil,,Municipal
